(0.0, 0.0),(-0.23178, -0.08403),(-0.49427, -0.22001),(-0.76243, -0.39955),(-1.02576, -0.61001),(-1.28265, -0.84577),(-1.53873, -1.11526),(-1.80534, -1.4283),(-2.11394, -1.75394),(-2.49765, -2.09776),0
(0.0, 0.0),(-0.2092, -0.15853),(-0.45072, -0.34513),(-0.72696, -0.54714),(-1.01534, -0.78145),(-1.2698, -1.0397),(-1.48147, -1.28115),(-1.67939, -1.48607),(-1.90718, -1.65723),(-2.21975, -1.82126),1
(0.0, 0.0),(-0.09134, -0.22612),(-0.15441, -0.43964),(-0.18356, -0.64898),(-0.16184, -0.85978),(-0.10539, -1.05658),(-0.06509, -1.2379),(-0.07243, -1.40792),(-0.11852, -1.57087),(-0.18641, -1.73941),2
(0.0, 0.0),(-0.02589, -0.12082),(-0.06307, -0.20649),(-0.11073, -0.26123),(-0.16484, -0.27662),(-0.24074, -0.27512),(-0.3659, -0.26794),(-0.56051, -0.26349),(-0.79469, -0.28849),(-0.97802, -0.36696),3
(0.0, 0.0),(-0.09367, -0.00972),(-0.23821, -0.00533),(-0.37791, -0.02202),(-0.46675, -0.06125),(-0.50391, -0.09634),(-0.52652, -0.09772),(-0.54589, -0.06256),(-0.58302, -0.01614),(-0.65324, 0.04577),4
(0.0, 0.0),(-0.0735, -0.03926),(-0.16072, -0.07428),(-0.25278, -0.09805),(-0.35211, -0.11198),(-0.45144, -0.1217),(-0.54834, -0.1272),(-0.64927, -0.12005),(-0.75182, -0.1129),(-0.85195, -0.11699),5
(0.0, 0.0),(-0.05171, -0.06879),(-0.1018, -0.14039),(-0.16885, -0.2176),(-0.25044, -0.299),(-0.34092, -0.39444),(-0.43544, -0.50534),(-0.52997, -0.64574),(-0.60756, -0.80163),(-0.65687, -0.95754),6
(0.0, 0.0),(-0.06545, -0.10531),(-0.12282, -0.20641),(-0.15515, -0.28647),(-0.16244, -0.33986),(-0.16245, -0.34969),(-0.17131, -0.30472),(-0.18742, -0.21336),(-0.20353, -0.0953),(-0.21558, 0.03821),7
(0.0, 0.0),(0.02262, 0.03089),(0.0388, 0.10113),(0.06468, 0.20648),(0.11158, 0.35397),(0.13587, 0.52397),(0.10122, 0.70107),(0.02216, 0.88946),(-0.05931, 1.10034),(-0.12866, 1.33791),8
(0.0, 0.0),(-0.05727, 0.14481),(-0.12584, 0.32476),(-0.18309, 0.52155),(-0.24034, 0.72397),(-0.31133, 0.90252),(-0.40573, 1.07408),(-0.52194, 1.24566),(-0.64542, 1.41725),(-0.7576, 1.56213),9
(0.0, 0.0),(-0.092, 0.13501),(-0.20337, 0.30096),(-0.31473, 0.46691),(-0.41642, 0.61459),(-0.51407, 0.74399),(-0.61658, 0.85372),(-0.72071, 0.93536),(-0.8184, 0.99309),(-0.90962, 1.03817),10
(0.0, 0.0),(-0.11303, 0.05775),(-0.23251, 0.1127),(-0.35119, 0.15922),(-0.46988, 0.20012),(-0.57484, 0.24381),(-0.65234, 0.27482),(-0.69756, 0.28331),(-0.72744, 0.28194),(-0.76619, 0.29463),11
(0.0, 0.0),(0.00162, 0.01264),(0.0218, 0.007),(0.04118, 0.00135),(0.06218, 0.00414),(0.08882, -0.00011),(0.12354, -0.02404),(0.1639, -0.05641),(0.21475, -0.0916),(0.28984, -0.1212),12
(0.0, 0.0),(0.01292, -0.00564),(0.03875, -0.02394),(0.09042, -0.0521),(0.17277, -0.08874),(0.27046, -0.11415),(0.36655, -0.11849),(0.457, -0.10314),(0.53936, -0.08919),(0.60639, -0.08786),13
(0.0, 0.0),(0.07026, 0.00975),(0.13243, 0.01108),(0.18168, -0.00584),(0.21558, -0.04102),(0.24221, -0.09726),(0.26963, -0.17036),(0.29786, -0.25611),(0.32851, -0.35029),(0.37045, -0.45714),14
(0.0, 0.0),(0.01936, -0.06045),(0.03467, -0.12932),(0.05805, -0.21928),(0.09192, -0.33455),(0.14274, -0.4667),(0.21132, -0.60309),(0.30251, -0.7395),(0.41389, -0.88296),(0.54141, -1.03628),15
(0.0, 0.0),(0.07827, -0.15186),(0.16299, -0.31496),(0.25255, -0.48791),(0.34937, -0.67211),(0.46154, -0.86756),(0.59307, -1.0771),(0.74318, -1.29367),(0.90863, -1.50043),(1.09429, -1.67489),16
(0.0, 0.0),(0.09922, -0.25165),(0.22186, -0.49771),(0.37197, -0.71851),(0.54873, -0.91826),(0.74892, -1.0829),(0.96205, -1.19838),(1.18165, -1.27593),(1.3956, -1.35488),(1.58774, -1.45909),17
(0.0, 0.0),(0.17112, -0.16181),(0.33822, -0.29269),(0.50128, -0.40952),(0.65628, -0.51369),(0.81289, -0.62208),(0.98322, -0.74313),(1.17615, -0.87545),(1.40139, -1.0064),(1.65892, -1.12334),18
(0.0, 0.0),(0.14931, -0.19832),(0.31396, -0.38541),(0.51738, -0.54444),(0.75876, -0.68104),(1.02358, -0.78393),(1.29648, -0.83766),(1.58959, -0.84644),(1.89886, -0.82292),(2.20409, -0.78113),19
(0.0, 0.0),(0.2317, -0.10989),(0.46745, -0.20292),(0.69111, -0.23973),(0.92609, -0.24001),(1.18449, -0.21925),(1.45097, -0.16899),(1.71586, -0.07095),(1.98318, 0.05238),(2.27634, 0.19816),20
(0.0, 0.0),(0.08398, -0.00713),(0.16311, -0.00582),(0.25355, -0.00312),(0.35206, -0.00605),(0.45865, -0.00478),(0.57816, 0.01194),(0.71383, 0.0455),(0.86081, 0.08888),(1.01425, 0.1449),21
(0.0, 0.0),(0.09285, -0.01698),(0.18733, -0.0199),(0.28585, -0.00738),(0.38841, 0.0192),(0.49421, 0.06403),(0.60243, 0.12854),(0.7139, 0.21693),(0.83023, 0.33622),(0.94737, 0.48222),22
(0.0, 0.0),(0.09691, 0.03782),(0.19303, 0.09813),(0.28269, 0.17952),(0.36671, 0.28199),(0.4362, 0.3887),(0.48065, 0.49966),(0.49685, 0.61767),(0.50417, 0.74553),(0.52522, 0.88322),23
(0.0, 0.0),(0.01618, 0.07867),(0.02994, 0.16578),(0.05744, 0.26411),(0.09947, 0.36944),(0.14797, 0.48742),(0.19243, 0.61664),(0.23448, 0.75711),(0.27249, 0.90882),(0.30001, 1.07601),24
(0.0, 0.0),(0.03881, 0.13345),(0.08086, 0.2697),(0.12371, 0.41297),(0.16415, 0.57031),(0.18925, 0.74592),(0.19256, 0.93843),(0.16761, 1.14502),(0.12329, 1.3671),(0.07252, 1.61448),25
(0.0, 0.0),(0.03641, 0.17982),(0.06394, 0.37089),(0.08825, 0.57743),(0.11014, 0.80363),(0.10944, 1.05376),(0.06433, 1.32783),(-0.03245, 1.61883),(-0.16557, 1.89863),(-0.31647, 2.15176),26
(0.0, 0.0),(0.00899, 0.26698),(-0.01028, 0.53258),(-0.0659, 0.79121),(-0.15139, 1.03582),(-0.25465, 1.27343),(-0.3676, 1.50964),(-0.48702, 1.73884),(-0.61451, 1.94978),(-0.75655, 2.13686),27
(0.0, 0.0),(-0.08871, 0.28396),(-0.19034, 0.55248),(-0.29925, 0.80695),(-0.41705, 1.04599),(-0.54131, 1.26957),(-0.67043, 1.4777),(-0.8052, 1.66758),(-0.94401, 1.84622),(-1.08202, 2.01783),28
(0.0, 0.0),(-0.04188, 0.27266),(-0.08296, 0.52986),(-0.11839, 0.78003),(-0.14816, 1.02317),(-0.17148, 1.26489),(-0.18672, 1.51082),(-0.19874, 1.75815),(-0.20913, 2.00688),(-0.22275, 2.26124),29
(0.0, 0.0),(0.08654, 0.33995),(0.18196, 0.68691),(0.25881, 1.02969),(0.33081, 1.37106),(0.40928, 1.70961),(0.49178, 2.03832),(0.57023, 2.35579),(0.64707, 2.67467),(0.72473, 3.01181),30
(0.0, 0.0),(0.11078, 0.37646),(0.22882, 0.74447),(0.35413, 1.11247),(0.48671, 1.49311),(0.62575, 1.88498),(0.76561, 2.27685),(0.899, 2.66311),(1.02512, 3.03391),(1.15365, 3.37942),31
(0.0, 0.0),(0.15038, 0.47336),(0.33146, 0.96074),(0.53998, 1.44246),(0.7598, 1.91011),(0.9877, 2.36229),(1.24142, 2.80459),(1.52421, 3.23),(1.83687, 3.65536),(2.18588, 4.10878),32
(0.0, 0.0),(0.22953, 0.51542),(0.51803, 1.08417),(0.84531, 1.70204),(1.2057, 2.31986),(1.5895, 2.94186),(1.9733, 3.58353),(2.35065, 4.24487),(2.6941, 4.91186),(2.98908, 5.56486),33
(0.0, 0.0),(0.18041, 0.83868),(0.37618, 1.73775),(0.56306, 2.58906),(0.71197, 3.38561),(0.83017, 4.14144),(0.9306, 4.86076),(1.00922, 5.54497),(1.06846, 6.21797),(1.10428, 6.90224),34
(0.0, 0.0),(-0.0126, 0.79817),(0.00551, 1.63283),(0.04217, 2.41969),(0.06507, 3.13069),(0.06133, 3.82486),(0.0172, 4.49379),(-0.05197, 5.13044),(-0.14133, 5.74041),(-0.2622, 6.33076),35
(0.0, 0.0),(-0.16361, 0.76322),(-0.30945, 1.53065),(-0.45126, 2.29104),(-0.59549, 3.02334),(-0.75023, 3.7388),(-0.90981, 4.43599),(-1.07022, 5.10368),(-1.24516, 5.75454),(-1.43705, 6.40964),36
(0.0, 0.0),(-0.30416, 0.66222),(-0.59378, 1.32163),(-0.88661, 2.00774),(-1.18186, 2.72479),(-1.48113, 3.45308),(-1.8006, 4.17158),(-2.15883, 4.87046),(-2.53321, 5.55111),(-2.9189, 6.21773),37
(0.0, 0.0),(-0.44544, 0.72282),(-0.90786, 1.40915),(-1.37028, 2.073),(-1.82624, 2.74108),(-2.28865, 3.43728),(-2.76962, 4.14055),(-3.25303, 4.81573),(-3.74452, 5.47407),(-4.25056, 6.11979),38
(0.0, 0.0),(-0.70468, 0.64024),(-1.43363, 1.20325),(-2.14566, 1.66929),(-2.81491, 2.10859),(-3.47446, 2.56195),(-4.11787, 3.02795),(-4.72654, 3.53748),(-5.35297, 4.04987),(-6.01092, 4.54123),39
(0.0, 0.0),(-0.72173, 0.4084),(-1.43138, 0.762),(-2.13138, 1.04112),(-2.81768, 1.27246),(-3.50722, 1.49538),(-4.16367, 1.69016),(-4.78865, 1.83853),(-5.3878, 1.95737),(-5.96598, 2.06213),40
(0.0, 0.0),(-0.39149, 0.34757),(-0.77977, 0.66141),(-1.19632, 0.94719),(-1.61127, 1.22876),(-2.0141, 1.50892),(-2.42177, 1.79752),(-2.8238, 2.09174),(-3.23552, 2.36349),(-3.65857, 2.59451),41
(0.0, 0.0),(-0.22755, 0.39514),(-0.45592, 0.78045),(-0.68348, 1.16014),(-0.89892, 1.54123),(-1.11276, 1.89562),(-1.34034, 2.22895),(-1.57275, 2.57634),(-1.81163, 2.92234),(-2.05778, 3.25289),42
(0.0, 0.0),(-0.10886, 0.3697),(-0.22176, 0.74924),(-0.32819, 1.14424),(-0.43057, 1.54204),(-0.53538, 1.93985),(-0.64664, 2.35453),(-0.76839, 2.78889),(-0.90872, 3.21064),(-1.07813, 3.58746),43
(0.0, 0.0),(-0.08139, 0.41885),(-0.17489, 0.84052),(-0.26435, 1.25517),(-0.39015, 1.6516),(-0.54342, 2.02979),(-0.67651, 2.37986),(-0.78539, 2.69196),(-0.8765, 3.02089),(-0.97324, 3.40886),44
(0.0, 0.0),(-0.07821, 0.29659),(-0.14915, 0.58194),(-0.17971, 0.89252),(-0.19735, 1.2045),(-0.2166, 1.51929),(-0.23584, 1.85375),(-0.25669, 2.20648),(-0.2961, 2.57891),(-0.36619, 2.97105),45
(0.0, 0.0),(0.03813, 0.4454),(0.06093, 0.90909),(0.049, 1.35736),(0.01042, 1.80004),(-0.04754, 2.23151),(-0.11277, 2.64753),(-0.17074, 3.05652),(-0.22386, 3.4655),(-0.28748, 3.88152),46
(0.0, 0.0),(-0.05234, 0.35839),(-0.11115, 0.71538),(-0.18772, 1.05694),(-0.25622, 1.38444),(-0.3021, 1.73299),(-0.33262, 2.1321),(-0.37202, 2.55372),(-0.43645, 2.95288),(-0.54449, 3.32961),47
